CO2_percent,RFU
100,255.0786133
100,222.9182281
100,199.5465851
50,128.9669342
50,131.0617676
50,133.7913513
25,94.88395691
25,90.38395691
25,92.34706879
12.5,65.97246552
12.5,69.01359558
12.5,66.21002197
6.3,59.53024292
6.3,57.24599075
6.3,60.39054108
3.1,49.74308014
3.1,54.27952957
3.1,49.9748497
1.5,46.48506165
1.5,48.9796257
1.5,47.53754807
0,41.8411026
0,41.84327316
0,43.38140106
0,42.51900482
0,41.89244461
0,43.09488297
0,41.60417938
0,41.59678268
0,41.76403809
0,42.62254333
